Frames,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
396,,,,,,,,,,,,,,"[220, 330]",,,,,,,,,,,
397,,,,,,,,,,,,,,"[220, 330]",,,,,,,,,,,
398,,,,,,,,,,,,,,"[240, 312]",,,,,,,,,,,
399,,,,,,,,,,,,,,"[241, 313]",,,,,,,,,,,
400,,,,,,,,,,,,,,"[273, 293]",,,,,,,,,,,
401,,,,,,,,,,,,,,"[273, 293]",,,,,,,,,,,
402,,,,,,,,,,,,,,"[297, 274]",,,,,,,,,,,
403,,,,,,,,,,,,,,"[298, 274]",,,,,,,,,,,
404,,,,,,,,,,,,,,"[327, 258]",,,,,,,,,,,
405,,,,,,,,,,,,,,"[327, 258]",,,,,,,,,,,
406,,,,,,,,,,,,,,"[353, 243]",,,,,,,,,,,
407,,,,,,,,,,,,,,"[353, 243]",,,,,,,,,,,
408,,,,,,,,,,,,,,"[378, 229]",,,,,,,,,,,
409,,,,,,,,,,,,,,"[378, 229]",,,,,,,,,,,
410,,,,,,,,,,,,,,"[400, 216]",,,,,,,,,,,
411,,,,,,,,,,,,,,"[400, 216]",,,,,,,,,,,
412,,,,,,,,,,,,,,"[421, 206]",,,,,,,,,,,
413,,,,,,,,,,,,,,"[421, 206]",,,,,,,,,,,
414,,,,,,,,,,,,,,"[440, 195]",,,,,,,,,,,
415,,,,,,,,,,,,,,"[440, 195]",,,,,,,,,,,
416,,,,,,,,,,,,,,,,,,,,,,,,,
417,,,,,,,,,,,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,,,,,,,,,,,
425,,,,,,,,,,,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,,,,,,,,,
436,,,,,,,,,,,,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,,,,,,,,,
439,,,,,,,,,,,,,,,,,,,,,,,,,
440,,,,,,,,,,,,,,,,,,,,,,,,,
441,,,,,,,,,,,,,,,,,,,,,,,,,
